,id,name,location,categories,referralId,hasPerk,venuePage
0,5686b77338faf7478eb6c6aa,Asian Legend,"{'lat': 43.7265905030894, 'lng': -79.34218786843495, 'labeledLatLngs': [{'label': 'display', 'lat': 43.7265905030894, 'lng': -79.34218786843495}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d1f5931735', 'name': 'Dim Sum Restaurant', 'pluralName': 'Dim Sum Restaurants', 'shortName': 'Dim Sum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dimsum_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
1,4efbb51bf9ab0847f95ff7a8,Asian Fusion,"{'address': '3850 Sheppard Ave E', 'crossStreet': 'Kennedy Rd', 'lat': 43.78415610599154, 'lng': -79.29276980789129, 'labeledLatLngs': [{'label': 'display', 'lat': 43.78415610599154, 'lng': -79.29276980789129}], 'postalCode': 'M1T 3L4', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3850 Sheppard Ave E (Kennedy Rd)', 'Scarborough ON M1T 3L4', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
2,4aebd5a7f964a520f0c421e3,Asian Legend 味香村,"{'address': '125 Ravel Rd', 'crossStreet': 'at Finch Ave E', 'lat': 43.79060809180567, 'lng': -79.36704119272468, 'labeledLatLngs': [{'label': 'display', 'lat': 43.79060809180567, 'lng': -79.36704119272468}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['125 Ravel Rd (at Finch Ave E)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d145941735', 'name': 'Chinese Restaurant', 'pluralName': 'Chinese Restaurants', 'shortName': 'Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
5,4baa44fff964a52082593ae3,Asian Optical,"{'address': '4675 Steeles Ave. E', 'crossStreet': 'in Splendid China Tower', 'lat': 43.824318, 'lng': -79.302799, 'labeledLatLngs': [{'label': 'display', 'lat': 43.824318, 'lng': -79.302799}], 'postalCode': 'M1V 4S5', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['4675 Steeles Ave. E (in Splendid China Tower)', 'Scarborough ON M1V 4S5', 'Canada']}","[{'id': '4d954afda243a5684865b473', 'name': 'Optical Shop', 'pluralName': 'Optical Shops', 'shortName': 'Optical', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
6,4c4743d576d72d7fad9b3c4d,Asian Gourmet,"{'address': 'Centrepoint', 'lat': 43.79594, 'lng': -79.42288, 'labeledLatLngs': [{'label': 'display', 'lat': 43.79594, 'lng': -79.42288}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Centrepoint', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
7,4c8a5f181797236a0afc6088,Asian Course,"{'lat': 43.81134645979908, 'lng': -79.45406965106741, 'labeledLatLngs': [{'label': 'display', 'lat': 43.81134645979908, 'lng': -79.45406965106741}], 'cc': 'CA', 'city': 'Vaughan', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Vaughan ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
8,517ad207e4b0189bddb434d5,South Asian Autism Awareness Centre,"{'address': '63-705 Progress Avenue', 'lat': 43.775138, 'lng': -79.238008, 'labeledLatLngs': [{'label': 'display', 'lat': 43.775138, 'lng': -79.238008}], 'postalCode': 'M1H 2W1', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['63-705 Progress Avenue', 'Scarborough ON M1H 2W1', 'Canada']}",[],v-1603875900,False,
10,5df7c5e6101ef600087c4669,Asian Bay,"{'address': '900 Don Mills Road', 'lat': 43.72719039999999, 'lng': -79.3415565, 'labeledLatLngs': [{'label': 'display', 'lat': 43.72719039999999, 'lng': -79.3415565}], 'postalCode': 'M3C 1V6', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['900 Don Mills Road', 'Toronto ON M3C 1V6', 'Canada']}","[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,{'id': '566087097'}
11,4c7c3d4df56a37043c780746,Asian Garden Chinese Hakka Restaurant,"{'address': '883 16th Ave.', 'crossStreet': 'btwn Bayview & Strathearn', 'lat': 43.85779673244561, 'lng': -79.40688550741197, 'labeledLatLngs': [{'label': 'display', 'lat': 43.85779673244561, 'lng': -79.40688550741197}], 'postalCode': 'L4B 3E5', 'cc': 'CA', 'city': 'Richmond Hill', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['883 16th Ave. (btwn Bayview & Strathearn)', 'Richmond Hill ON L4B 3E5', 'Canada']}","[{'id': '54135bf5e4b08f3d2429dfdf', 'name': 'Indian Chinese Restaurant', 'pluralName': 'Indian Chinese Restaurants', 'shortName': 'Indian Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
12,4ca8be1a14c337042a15d73b,Asian Food Centre,"{'address': '308 Eddystone Ave', 'lat': 43.7474858, 'lng': -79.5232619, 'labeledLatLngs': [{'label': 'display', 'lat': 43.7474858, 'lng': -79.5232619}], 'postalCode': 'M3N 1H7', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['308 Eddystone Ave', 'Toronto ON M3N 1H7', 'Canada']}","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
